Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
TT-568B,E-523B S/S INLET,TEMPERATURE TRANSMITTER,Y,,E-523B S/S INLET,,Yokogawa,YTA320-EA2DD,,,,A
TT-573B,E-523B S/S INLET,TEMPERATURE TRANSMITTER,Y,,E-523B S/S INLET,,Yokogawa,YTA320-EA2DD,,,,A
PG-364A,P-305A DISCH.,PRESSURE GAUGE,,,P-305A DISCH.,"6""TSC 3003/4-A12A",WIKA,233.30.100,,7,121,
PG-2009,D-2011,PRESSURE GAUGE,,,D-2011,,WIKA,232.30.100,,16,245,
HEV-661,HIGH PRESSURE STM TO PT661A,CONTROL VALVE POSITION,Y,,HIGH PRESSURE STM TO PT661A,,,,,,,C
PG-693,SHP STEAM TO CT-660,PRESSURE GAUGE,N,,SHP STEAM TO CT-660,,,,,,,C
TG-584,HIGH PRESS STM TO CT-560,TEMPERATURE GAUGE,N,,HIGH PRESS STM TO CT-560,,,,,,,C
AT-660,E-660 EJECTOR OUTLET,MAIN ANALYZER,N,,E-660 EJECTOR OUTLET,"6""TSC 6609-A12A",,,,,,B
FI-660,HP STEAM TO CT-660,ANALYZER IMAGE TAG,,,HP STEAM TO CT-660,,,,,,,
PG-696,LP STEAM TO GLAND CONDENSER EJECTOR,PRESSURE GAUGE,N,,LP STEAM TO GLAND CONDENSER EJECTOR,,,,,,,C
TT-563,CT-560 OUTLET,TEMPERATURE TRANSMITTER,Y,,CT-560 OUTLET,"24""LS1 5605-A14T-H",Yokogawa,YTA320-EA2DD,,,,A
TT-554,CT-560 INLET,TEMPERATURE TRANSMITTER,Y,,CT-560 INLET,"10""HS 5600-D11T-H",Yokogawa,YTA320-EA2DD,,,,A
PG-2456,TREATDE WATER HEADER FR. CTU,PRESSURE GAUGE,,,TREATDE WATER HEADER FR. CTU,"3""TW 24051-A11A",WIKA,232.30.100,,10,65,
PG-3201,PSV-3202 BYPASS,PRESSURE GAUGE,,,PSV-3202 BYPASS,"3""CS 32023-A13A",WIKA,232.30.100,,7,73,
FT-3204,SPENT GASOLINE TO D-3202,ROTAMETER,,,SPENT GASOLINE TO D-3202,"2""HL 32017-A16A",KROHNE,H250/RR/M10/EEx,,12,75,
PG-3205B,P-3201B DISCHARGE,PRESSURE GAUGE,,,P-3201B DISCHARGE,"2""HL 32017/18-A16A",WIKA,233.30.100+990.27,,12,73,
LT-3202,D-3201,GUIDED WAVE RADAR,,,D-3201,D-3201,Endress+Houser,FMP40-7KK2AEJB21JY,,7,73,
PSV-2022B,Steam and Condensate Systems / MP Steam-2 Header,PRESSURE SAFETY VALVE,Y,,Steam and Condensate Systems / MP Steam-2 Header,"8"" MS2 20060-B12T",Anderson Greenwood C,8 T 10 JOS-H-E-SPL-45-C,,,,C
PSV-2021D,Steam and Condensate Systems / HP Steam Header,PRESSURE SAFETY VALVE,Y,,Steam and Condensate Systems / HP Steam Header,"6"" HS 20053-D11T",Anderson Greenwood C,6 Q2 8 HCI-46,,,,B
PSV-361,Steam and Condensate Systems / PT-305A,PRESSURE SAFETY VALVE,Y,,Steam and Condensate Systems / PT-305A,"1-1/2"" LS1 3001-A14T",Anderson Greenwood C,1 1/2 H 3 JOS-H-E-SPL-15-C,,,,B
TW-347B,CW SUPPLY TO E-300,THERMOWELL,,,CW SUPPLY TO E-300,"26""ICW 3009-A11A",WIKA,TW10,,8,75,
LV-360A,E-300,GLOBE CONTROL VALVE,,,E-300,"3""TSC 3009-A12A",SAMSON,241-7,,9.5,80,
TT-372,E-300 INLET,TEMPERATURE TRANSMITTER,,,E-300 INLET,,Yokogawa,YTA320-EA2DD,,,,
TT-377,TURBINE EXTRACTION STEAM TEMP,TEMPERATURE TRANSMITTER,Y,,TURBINE EXTRACTION STEAM TEMP,,,,,,,C
PG-371B,MP STEAM (MS2) TO EJECTORS,PRESSURE GAUGE,,,MP STEAM (MS2) TO EJECTORS,,,,,,,
PG-374,C-300PT1A LS1 OUT.,PRESSURE GAUGE,,,C-300PT1A LS1 OUT.,"6""LS1 3003-A14T",WIKA,232.30.100,,6.8,300,
LV-2003,D-2011,GLOBE CONTROL VALVE,,,D-2011,"3""MC2 20001-B12T-H",SAMSON,241-7,,16,245,
FI-2004,D-2011 OUTLET,ANALYZER IMAGE TAG,,,D-2011 OUTLET,,,,,,,
LIC-2003,D-2011,FLOW IMAGE TAG,,,D-2011,,,,,,,
PG-668D,MP STEAM(MS2) TO C560/660 EJECTORS,PRESSURE GAUGE,N,,MP STEAM(MS2) TO C560/660 EJECTORS,,,,,,,C
PSV-661,Steam and Condensate Systems / PT-660A Outlet,PRESSURE SAFETY VALVE,Y,,Steam and Condensate Systems / PT-660A Outlet,"1-1/2"" LS1 6601-A14T-H",Anderson Greenwood C,1 1/2 H 3 JOS-H-E-SPL-15-C,,,,B
PG-8110,TO OFF-GAS B.L,PRESSURE GAUGE,N,,TO OFF-GAS B.L,"2""MN 8100-A54A",WIKA,232.30.100,,12,65,C
PT-8112,D-810 DEPENTANIZER REFLUX DRUM,PRESSURE TRANSMITTER,Y,,D-810 DEPENTANIZER REFLUX DRUM,"3""HV 8101-A54A",Yokogawa,EJX310A,,6.8,85,B
FIC-8202,SECONDARY LINE OF E-825,FLOW IMAGE TAG,,,SECONDARY LINE OF E-825,,,,,,,
FIC-8200,C10+ CUT TO QUENCH TOWER BOTTOM(OSBL),FLOW IMAGE TAG,,,C10+ CUT TO QUENCH TOWER BOTTOM(OSBL),,,,,,,
PG-8207A,P-826A DEDECTANIZER BOTTOM PUMPS,PRESSURE GAUGE,N,,P-826A DEDECTANIZER BOTTOM PUMPS,"4""HL 8204-A53A-P",,,,,,C
LG-8200,D-825 CONDENSATE POT FOR E-825,LEVEL GAUGE,N,,D-825 CONDENSATE POT FOR E-825,,,,,,,C
FIC-8204,TO T-820,FLOW IMAGE TAG,,,TO T-820,,,,,,,
HZCL-8201,D-820 OUTLET,CONTROL VALVE POSITION,,,D-820 OUTLET,,,,,,,
TV-8208,C6-C9 CUT TO E-830A/B,GLOBE CONTROL VALVE,Y,,C6-C9 CUT TO E-830A/B,"6""MS2 8200-B12T-H",,,,,,B
PG-8210,E-821 DEDECTANIZER OVERHEAD PRODUCT HEATER,PRESSURE GAUGE,N,,E-821 DEDECTANIZER OVERHEAD PRODUCT HEATER,"6""MS2 8200-B12T-H",,,,,,C
PG-8208B,P-820B DEDECTANIZER REFLUX PUMPS,PRESSURE GAUGE,N,,P-820B DEDECTANIZER REFLUX PUMPS,"3""HL 8211-A53A",,,,,,C
PDG-8306,FROM P-831A/B,PRESSURE DIFFERENTIAL GAUGE,N,,FROM P-831A/B,"3""HL 8300-B52Q",WIKA,,,35.7,380,C
PT-8303,R-830 UPPER SIDE,PRESSURE TRANSMITTER,N,,R-830 UPPER SIDE,"16""HV 8302-B52D-H-90",Yokogawa,EJA430A,,35.7,380,B
TI-8309,R-830 1ST BED,ANALYZER IMAGE TAG,,,R-830 1ST BED,,,,,,,
TI-8301,R-830 2ND BED,ANALYZER IMAGE TAG,,,R-830 2ND BED,,,,,,,
FV-8300,FROM E-821 DEDECTANIZER OVERHEAD PRODUCT,GLOBE CONTROL VALVE,Y,,FROM E-821 DEDECTANIZER OVERHEAD PRODUCT,"8""HL 8220-D51A-H",,,,,,B
XZCL-7608B,H2 GAS RETURN FROM M-760B,CONTROL VALVE POSITION,,,H2 GAS RETURN FROM M-760B,,,,,,,
XZC-7608B,H2 GAS RETURN FROM M-760B,CONTROL VALVE POSITION,Y,,H2 GAS RETURN FROM M-760B,,WESTLOCK,2249-BY-00-2200-00,,,,
XV-7607B,H2 GAS RETURN FROM M-760B,BUTTERFLY CONTROL VALVE,Y,,H2 GAS RETURN FROM M-760B,"12""HV 7608-A1J-H",,,,,,
LI-7604,D-760 IN/OUT,ANALYZER IMAGE TAG,,,D-760 IN/OUT,,,,,,,
XEV-7620,N2 TO D-760,CONTROL VALVE POSITION,Y,,N2 TO D-760,,ASCO,,,,,
PT-7607,TREATED C4 FEED TO D-761,PRESSURE TRANSMITTER,Y,,TREATED C4 FEED TO D-761,"8""HL 7610-A13A",Yokogawa,EJA430A,,11,70,
PG-7610A,P-760A OUTLET,PRESSURE GAUGE,N,,P-760A OUTLET,"8""HL 7615-B13A",WIKA,233.30.100,,46.2,68,
FT-7602A,P-760A/B DISCH.,DIFF. PRESSURE,,,P-760A/B DISCH.,"10""HL 7615-B13A",Yokogawa,EJX110A,,,,
TV-7606,HOT REGEN GAS FROM E-711 TO M-761A,BUTTERFLY CONTROL VALVE,Y,,HOT REGEN GAS FROM E-711 TO M-761A,"6""HV 7615-B24T-H",SAMSON,,,,,
FIC-7603,HOT REGEN GAS FROM ORU TO M-761A,FLOW IMAGE TAG,,,HOT REGEN GAS FROM ORU TO M-761A,,,,,,,
XZO-7624A,TREATED C2 FEED TO F-761A/B FR. M-761A,CONTROL VALVE POSITION,Y,,TREATED C2 FEED TO F-761A/B FR. M-761A,,WESTLOCK,2249-BY-00-2200-00,,,,
XY-7623A,TREATED C2 FEED TO F-761A/B FR. M-761A,DESUPERHEAT,Y,,TREATED C2 FEED TO F-761A/B FR. M-761A,,,,,,,
HS-7628A,XV-7628A OPEN/CLOSE,OTHER IMAGE TAG,,,XV-7628A OPEN/CLOSE,,,,,,,
HS-7625A,XV-7625A OPEN/CLOSE,OTHER IMAGE TAG,,,XV-7625A OPEN/CLOSE,,,,,,,
PSV-7603B,M-761B,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,3 K 4 JLT-JOS-E-SPL-35-S-J,,,,
XZO-7627B,REGEN. GAS TO M-761B,CONTROL VALVE POSITION,Y,,REGEN. GAS TO M-761B,,WESTLOCK,2249-BY-00-2200-00,,,,
RO-640A,R-640A/B LIQUID DRAW-OFF,RO,N,,R-640A/B LIQUID DRAW-OFF,"2""HL 6065/66-B13A",,,,,,C
FT-623,R-640A/B OVERHEAD,TURBINE FLOW,N,,R-640A/B OVERHEAD,"6""PR 6008-B13A",Daniel,T03BDC1AA4DCCKC,,,,A
TT-678,REGEN TO R-640A/B FROM E-643,TEMPERATURE TRANSMITTER,Y,,REGEN TO R-640A/B FROM E-643,"4""HV 6071-B13A-H",Yokogawa,YTA320-EA2DD,,,,A
LT-650,0,HYDROSTATIC HEAD,,,,,,,,,,
TT-651,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
PG-685,0,PRESSURE GAUGE,,,,,,,,,,
FT-651,0,DIFF. PRESSURE,,,,,,,,,,
HS-611B,HV-611 CLOSE SWITCH IN FIELD,LOCAL PANEL,Y,,HV-611 CLOSE SWITCH IN FIELD,,,,,,,C
TI-665,C-660 4TH STAGE SUCTION,ANALYZER IMAGE TAG,,,C-660 4TH STAGE SUCTION,,,,,,,
HZS-609,HV-609 80% OPEN,ON-OFF VALVE POSITION,Y,,HV-609 80% OPEN,,,,,,,C
HZC-611,HV-611 CLOSE,CONTROL VALVE POSITION,Y,,HV-611 CLOSE,,,,,,,C
PT-669,C-660 3ND STAGE SUCTION,PRESSURE TRANSMITTER,Y,,C-660 3ND STAGE SUCTION,"14""C2R 5002-B13A",Yokogawa,EJX430A,,17.8,,A
HZA-611,HV-611 80% OPEN,ANALYZER IMAGE TAG,,,HV-611 80% OPEN,,,,,,,
HZS-608,HV-608 80% OPEN,ON-OFF VALVE POSITION,Y,,HV-608 80% OPEN,,,,,,,C
FIC-627,C-660 1ST SUCTION,OTHER IMAGE TAG,,,C-660 1ST SUCTION,,,,,,,
FV-638,E-500 BT-PASS TO D-662,GLOBE CONTROL VALVE,Y,,E-500 BT-PASS TO D-662,"8""C3R 6026-A11Q-C",,241-7,,17.8,-45,A
FZOL-627,C-660 1ST SUCTION,CONTROL VALVE POSITION,,,C-660 1ST SUCTION,,,,,,,
PSV-617,Refrigerant Systems / D-661,PRESSURE SAFETY VALVE,Y,,Refrigerant Systems / D-661,"4"" C3R 6043-A11Q",Anderson Greenwood C,4 P 6 JOS-E-SPL-15-J,,,,B
FFY-7502,P-750A REFLUX TO T-750,ANALYZER IMAGE TAG,,,P-750A REFLUX TO T-750,,,,,,,
XA-P750B,P-750B AUTO. START/REMOTE STOP,MOTOR SIGNAL,,,P-750B AUTO. START/REMOTE STOP,,,,,,,
XEV-7502,OCU C4 FEED TO M-760A/B,ON-OFF VALVE POSITION,Y,,OCU C4 FEED TO M-760A/B,,SAMSON,,,,,
XL-P756B,P-756B RUN,MOTOR SIGNAL,,,P-756B RUN,,,,,,,
XL-P756A,P-756A REMOTE STOP,MOTOR SIGNAL,,,P-756A REMOTE STOP,,,,,,,
FT-7520,FROM MMA PLANT TO M-710,DIFF. PRESSURE,,,FROM MMA PLANT TO M-710,"4""C4 7501-A13A",Yokogawa,EJX110A,,,,
XEV-7504,FROM MMA PLANT TO M-710,ON-OFF VALVE POSITION,Y,,FROM MMA PLANT TO M-710,,SAMSON,,,,,
XZOL-7504,FROM MMA PLANT TO M-710,CONTROL VALVE POSITION,,,FROM MMA PLANT TO M-710,,,,,,,
XA-P756B,P-756B FAULT ALARM,MOTOR SIGNAL,,,P-756B FAULT ALARM,,,,,,,
XZC-7605A,HOT  REGEN. GAS TO M-760A,CONTROL VALVE POSITION,Y,,HOT  REGEN. GAS TO M-760A,,WESTLOCK,2249-BY-00-2200-00,,,,
XV-7601A,OCU C4 FEED TO M-760A,BALL CONTROL VALVE,Y,,OCU C4 FEED TO M-760A,"8""HL 7518-A1J-H",KTM,E1126M-62ZX,,,,
XZC-7608A,H2 GAS RETURN FROM M-760A,CONTROL VALVE POSITION,Y,,H2 GAS RETURN FROM M-760A,,WESTLOCK,2249-BY-00-2200-00,,,,
XZOL-7613A,M-760A DRAIN TO D-760,CONTROL VALVE POSITION,,,M-760A DRAIN TO D-760,,,,,,,
PG-7603A,M-760A OVERHD,PRESSURE GAUGE,N,,M-760A OVERHD,"1 1/2""HV 7606-A1J",WIKA,232.30.100,,11,70,
LI-7602A,M-760A BOTTOM,ANALYZER IMAGE TAG,,,M-760A BOTTOM,,,,,,,
LI-7601A,M-760A BOTTOM,ANALYZER IMAGE TAG,,,M-760A BOTTOM,,,,,,,
XZCL-7618A,COLD DEPRESSURE GAS FR. M-760A,CONTROL VALVE POSITION,,,COLD DEPRESSURE GAS FR. M-760A,,,,,,,
HS-7604A,TREATED C4 FEED TO F-760A/B,OTHER IMAGE TAG,,,TREATED C4 FEED TO F-760A/B,,,,,,,
LG-3212,D-3202 INTERFACE,LEVEL GAUGE,,,D-3202 INTERFACE,,Samil IND,STG-1IL,,7,73,
XL-P3201A,P-3201A RUN STATUS,MOTOR SIGNAL,,,P-3201A RUN STATUS,,,,,,,
FV-3205,WATER TO TK-3200,GLOBE CONTROL VALVE,,,WATER TO TK-3200,"3""WW 3000-A17A",SAMSON,241-7,,20,75,
XL-P3200B,P-3200B RUN STATUS,MOTOR SIGNAL,,,P-3200B RUN STATUS,,,,,,,
PT-3221,C-3200A/B DSCH,PRESSURE TRANSMITTER,,,C-3200A/B DSCH,"2""PA 32052-D11T-H",Yokogawa,EJA430A,,49.5,190,
PIC-3221,C-3200A/B DSCH,FLOW IMAGE TAG,,,C-3200A/B DSCH,,,,,,,
PG-3225,R-3200 OVERHEAD,PRESSURE GAUGE,,,R-3200 OVERHEAD,"4""SCS 32059-D11M-H",WIKA,232.30.100+990.27,,43,250,
LT-3222,T-3200,HYDROSTATIC HEAD,,,T-3200,,Yokogawa,EJA118W,,3.5,130,
FEV-3224,OXIDATION AIR TO R-3200,CONTROL VALVE POSITION,,,OXIDATION AIR TO R-3200,,,,,,,
FT-3223,HI PR STM TO R-3200,DIFF. PRESSURE,,,HI PR STM TO R-3200,"2""HS 20007-D11T-H",Yokogawa,EJA110A,,46.2,420,
LG-3223A,TK-3202 INTERFACE,LEVEL GAUGE,,,TK-3202 INTERFACE,,Samil IND,STG-1IL,,0.15,75,
XZI-3222,XV-3222 VALVE POSITION,ON-OFF VALVE POSITION,,,XV-3222 VALVE POSITION,,,,,,,
FI-3405E,WASH GASOLINE TO C-300 3RD STAGE,ROTAMETER,,,WASH GASOLINE TO C-300 3RD STAGE,"1""WG C34007-B13A",KROHNE,H250/RR/M9,,49.5,75,
FI-3405F,WASH GASOLINE TO C-300 4TH STAGE,ROTAMETER,,,WASH GASOLINE TO C-300 4TH STAGE,"1""WG C34008-B13A",KROHNE,H250/RR/M9,,49.5,75,
FI-3405I,WASH GASOLINE TO C-300 5TH STAGE,ROTAMETER,,,WASH GASOLINE TO C-300 5TH STAGE,"1""WG C34011-B13A",KROHNE,H250/RR/M9,,49.5,75,
TG-535,REGENERATION GAS TO R-520A/B,TEMPERATURE GAUGE,N,,REGENERATION GAS TO R-520A/B,"10""RS 5006-B13A-H",WIKA,S5550,,26.4,535,C
HZOL-520B,E-522A EFFLUENT,CONTROL VALVE POSITION,,,E-522A EFFLUENT,,,,,,,
FV-527,P-520A/B DISCHARGE,GLOBE CONTROL VALVE,Y,,P-520A/B DISCHARGE,"2""HL 5043-B11Q-C",SAMSON,241-7,,25.5,,A
FT-528,P-526A/B DISCHARGE,DIFF. PRESSURE,Y,,P-526A/B DISCHARGE,"2""HL 5022-B11Q-C",Yokogawa,EJA110A,,36.5,,A
RO-507,M-520A/B FEED MIN. BY-PASS,RO,,,M-520A/B FEED MIN. BY-PASS,"1""HV 5038-B11Q-C",,,,,,
LIC-509B,T-520,FLOW IMAGE TAG,,,T-520,,,,,,,
HS-531A,E-520A/V TO T-520,OTHER IMAGE TAG,,,E-520A/V TO T-520,,,,,,,
LT-509,T-520,GUIDED WAVE RADAR,,,T-520,,Endress+Houser,FMP45-7AKARJB21C4Y,,26.4,-45,
PG-561,PSV-512 BYPASS,PRESSURE GAUGE,,,PSV-512 BYPASS,"4""HV 5043-B11Q-C",WIKA,232.30.100,,26.4,,
PG-522B,0,PRESSURE GAUGE,,,,,,,,,,
PZCL-521B,PV-521B CLOSE,CONTROL VALVE POSITION,,,PV-521B CLOSE,,,,,,,
TT-541,T-540 OVERHEAD,TEMPERATURE TRANSMITTER,Y,,T-540 OVERHEAD,,Yokogawa,YTA320-EA2DD,,,,A
PSV-516B,Process Service (Normal) / T-540 OVHD,PRESSURE SAFETY VALVE,Y,,Process Service (Normal) / T-540 OVHD,"6"" HV 5053-B11Q",Anderson Greenwood C,6 Q 8 JBS-E-34-J,,,,B
XZI-508,T-540 FEED TO T-540 OVER HEAD,ON-OFF VALVE POSITION,,,T-540 FEED TO T-540 OVER HEAD,,,,,,,
XZI-507,T-540 FEED,ON-OFF VALVE POSITION,,,T-540 FEED,,,,,,,
XEV-508,T-540 FEED TO T-540 OVER HEAD,CONTROL VALVE POSITION,N,,T-540 FEED TO T-540 OVER HEAD,,SAMSON,3731,,,,C
TI-543,T-540 BOT C2H6 RECYCLE,ANALYZER IMAGE TAG,,,T-540 BOT C2H6 RECYCLE,,,,,,,
LG-8301,D-831 GHU-2 HEATER K.O. DRUM,LEVEL GAUGE,N,,D-831 GHU-2 HEATER K.O. DRUM,"3""HL 8303-B51D-P-40",ORION(Magnetrol),XACA-ACL2-2AB/180,,37.7,310,C
HZCL-8307,MS2 FROM STEAM CURTAIN,CONTROL VALVE POSITION,,,MS2 FROM STEAM CURTAIN,,,,,,,
TW-8361,E-830A FROM E-830B SHELL SIDE,THERMOWELL,N,,E-830A FROM E-830B SHELL SIDE,,WIKA,TW10-P,,31.2,280,C
TT-8300A,R-830 2ND BED,TEMPERATURE TRANSMITTER,Y,,R-830 2ND BED,,Yokogawa,YTA320,,,,B
TT-8304A,R-830 2ND BED,TEMPERATURE TRANSMITTER,Y,,R-830 2ND BED,,Yokogawa,YTA320,,,,B
TT-8336A,R-830 1ST BED,TEMPERATURE TRANSMITTER,Y,,R-830 1ST BED,,Yokogawa,YTA320,,,,B
TT-8331C,R-830 2ND BED,TEMPERATURE TRANSMITTER,Y,,R-830 2ND BED,,Yokogawa,YTA320,,,,B
TT-8330B,R-830 2ND BED,TEMPERATURE TRANSMITTER,Y,,R-830 2ND BED,,Yokogawa,YTA320,,,,B
TT-8329A,R-830 2ND BED,TEMPERATURE TRANSMITTER,Y,,R-830 2ND BED,,Yokogawa,YTA320,,,,B
TT-8328C,R-830 2ND BED,TEMPERATURE TRANSMITTER,Y,,R-830 2ND BED,,Yokogawa,YTA320,,,,B
PI-8302,D-833 GHU-2 SEPARATOR DRUM,ANALYZER IMAGE TAG,,,,,,,,,,
PSV-8302,E-832 GHU-2 EFFLUENT TRIM COND.,PRESSURE SAFETY VALVE,Y,,E-832 GHU-2 EFFLUENT TRIM COND.,"3/4""RCW 8304-A11A",CONSOLIDATED,19096LCF,,,,A
PG-8312A,P-831A GHU-2 QUENCH PUMPS,PRESSURE GAUGE,N,,P-831A GHU-2 QUENCH PUMPS,"2""HL 8309-B52Q",WIKA,232.30.100,,41.9,165,C
FV-8303,D-833 BOTTOM TO E-842A/B,GLOBE CONTROL VALVE,Y,,D-833 BOTTOM TO E-842A/B,"6""HL 8312-B52Q",SAMSON,3241-7,,30,80,A
HZCL-660,TURBINE STEAM CONDENSATE,CONTROL VALVE POSITION,,,TURBINE STEAM CONDENSATE,,,,,,,
HEV-660,TURBINE STEAM CONDENSATE,CONTROL VALVE POSITION,Y,,TURBINE STEAM CONDENSATE,,,,,,,C
PG-593,HP STEAM TO CT-560,PRESSURE GAUGE,N,,HP STEAM TO CT-560,,,,,,,C
PG-596,LP STEAM TO GLAND CONDENSER EJECTOR,PRESSURE GAUGE,N,,LP STEAM TO GLAND CONDENSER EJECTOR,,,,,,,C
TW-638B,E-660 CW INLET,THERMOWELL,N,,E-660 CW INLET,"32""ICW 6605,04-A11A",WIKA,TW10,,8,75,C
PSV-665,Water Systems / CT-660 Gland Condenser,PRESSURE SAFETY VALVE,Y,,Water Systems / CT-660 Gland Condenser,"3/4"" RCW 6600",Anderson Greenwood C,9611011A/SPL,,,,B
PSV-562B,Steam And Condensate Systems / CT-560 Outlet,PRESSURE SAFETY VALVE,Y,,Steam And Condensate Systems / CT-560 Outlet,"6"" LS1 5607-A14T",Anderson Greenwood C,8 T 10-JOS-E-SPL-35-C,,,,B
PT-660,0,PRESSURE TRANSMITTER,,,,,,,,,,
PI-2703,INSTRUMENT AIR HEADER FROM CTU,ANALYZER IMAGE TAG,,,INSTRUMENT AIR HEADER FROM CTU,,,,,,,
LT-3007,PIT FOR D-3110,HYDROSTATIC HEAD,,,PIT FOR D-3110,D-3110,Yokogawa,EJA110A,,3.5,65,
FV-3202,WASH GASOLINE TO D-3201,GLOBE CONTROL VALVE,,,WASH GASOLINE TO D-3201,"2""HL 32020-A16A",SAMSON,241-7,,12,73,
PG-3205A,P-3201A DISCHARGE,PRESSURE GAUGE,,,P-3201A DISCHARGE,"2""HL 32017/18-A16A",WIKA,233.30.100+990.27,,12,73,
LG-3208,D-3201,LEVEL GAUGE,,,D-3201,,Magnetrol,XAAC-ACL2-2A0/140,,7,73,
FI-3201,SPENT CAUSTIC TO D-3201,ANALYZER IMAGE TAG,,,SPENT CAUSTIC TO D-3201,,,,,,,
FV-3204,SPENT GASOLINE TO D-3202,GLOBE CONTROL VALVE,,,SPENT GASOLINE TO D-3202,"2""HL 32017-A16A",SAMSON,241-7,,12,75,
PG-658,D-662 OVERHEAD,PRESSURE GAUGE,N,,D-662 OVERHEAD,"20""C3R 6024-A11Q",WIKA,232.30.100,,17.8,,C
PG-646,D-661 OVERHEAD TO C-660 1ST STAGE SUCT.,PRESSURE GAUGE,N,,D-661 OVERHEAD TO C-660 1ST STAGE SUCT.,"48""C3R 6038-A11Q",WIKA,232.30.100,,17.8,,C
PG-671,D-660 TO D-661,PRESSURE GAUGE,N,,D-660 TO D-661,"3""C3R 6036-B11Q",WIKA,232.30.100,,20.6,,C
TT-662,E-415X OUTLET TO E-402,TEMPERATURE TRANSMITTER,Y,,E-415X OUTLET TO E-402,"6""C3R 6042-A11Q-C",Yokogawa,YTA320-EA2DD,,,,A
TT-683,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
LG-627A,D-661,LEVEL GAUGE,N,,D-661,,Magnetrol,XAAC-ACL2-2AN/200,,17.8,,C
FV-631,E-545A/B S/S INLET,GLOBE CONTROL VALVE,Y,,E-545A/B S/S INLET,"10""C3R 6061-A11Q-C",SAMSON,241-1,,17.8,,A
LG-660,D-545,LEVEL GAUGE,N,,D-545,,Magnetrol,XAAC-ACL2-2AN/180,,17.8,1,C
XZCL-540A,E-545A/B INLET,CONTROL VALVE POSITION,,,E-545A/B INLET,,,,,,,
FZC-631,E-545A/B S/S INLET,CONTROL VALVE POSITION,Y,,E-545A/B S/S INLET,,,,,,,C
LG-648,E-402 SHELL SIDE,LEVEL GAUGE,N,,E-402 SHELL SIDE,,Magnetrol,XAAC-ACL2-2AN/200,,17.8,,C
LT-645,E-380 S/S,GUIDED WAVE RADAR,N,,E-380 S/S,,Endress+Houser,FMP40-7KK2AEJB21JY,,17.8,65,A
LIC-644,E-641 S/S,FLOW IMAGE TAG,,,E-641 S/S,,,,,,,
LIC-639A,E-540A S/S,FLOW IMAGE TAG,,,E-540A S/S,,,,,,,
TI-753,T-700 FEED FROM T-600,ANALYZER IMAGE TAG,,,T-700 FEED FROM T-600,,,,,,,
LIC-703B,D-700,FLOW IMAGE TAG,,,D-700,,,,,,,
FIC-3221,P-3202A/B DISCH. TO R-3200,FLOW IMAGE TAG,,,P-3202A/B DISCH. TO R-3200,,,,,,,
PG-3224A,P-3202A DISCHARGE,PRESSURE GAUGE,,,P-3202A DISCHARGE,"1 1/2""SCS 32054-B26A",WIKA,233.30.100+990.27,,46,75,
TZC-3222,R-3200,CONTROL VALVE POSITION,,,R-3200,,,,,,,
TG-3224,R-3200,TEMPERATURE GAUGE,,,R-3200,,WIKA,S5550,,43,250,
PG-3406I,WASH GASOLINE TO C-300 5TH STAGE,PRESSURE GAUGE,,,WASH GASOLINE TO C-300 5TH STAGE,"1""WG C34011-B13A",WIKA,232.30.100,,49.5,75,
PG-3406B,WASH GASOLINE TO C-300 1ST STAGE,PRESSURE GAUGE,,,WASH GASOLINE TO C-300 1ST STAGE,"1""WG C34013-B13A",WIKA,232.30.100,,49.5,75,
PG-3401F,P-3400 NO. 6A&6B DISCHARGE,PRESSURE GAUGE,,,P-3400 NO. 6A&6B DISCHARGE,"11/2""WG 32016-B13A",WIKA,233.30.100,,26,75,
FZC-3400,WASH GASOLINE TO TK-3400,CONTROL VALVE POSITION,,,WASH GASOLINE TO TK-3400,,,,,,,
LI-3401A,TK-3400,ANALYZER IMAGE TAG,,,TK-3400,,,,,,,
TZCL-7203,E-720 OUTLET TO E-722,CONTROL VALVE POSITION,,,E-720 OUTLET TO E-722,,,,,,,
XZO-7100,ORU C4 FEED TO R-720A,CONTROL VALVE POSITION,Y,,ORU C4 FEED TO R-720A,,WESTLOCK,2249-BY-00-2200-00,,,,
PG-7205,MN TO R-720A FROM HEADER,PRESSURE GAUGE,N,,MN TO R-720A FROM HEADER,"1""MN 7201-B54A",WIKA,232.30.100,,34,200,
PG-7207,PSV-7203A BY-PASS,PRESSURE GAUGE,N,,PSV-7203A BY-PASS,"1 1/2"" HV 7201-B54A",WIKA,232.30.100,,34,200,
TXAL-7205A,TE7205A BURNOUT ALARM,ANALYZER IMAGE TAG,,,TE7205A BURNOUT ALARM,,,,,,,
PSV-7209,E-722 SS,PRESSURE SAFETY VALVE,Y,,,,Anderson Greenwood C,1 1/2 G 3 JOS-E-SPL-35-J,,,,
TT-7214,E-722 SHU-1 REACTOR EFFLUENT TO R-730A/B,TEMPERATURE TRANSMITTER,Y,,E-722 SHU-1 REACTOR EFFLUENT TO R-730A/B,,Yokogawa,YTA320-EA2DD,,,,
